,sentence,foodlist
0,"그저께 11시에 떡만두국, 짜장면이랑 한우를 적당히 먹었어","['떡만두국', '짜장면', '한우']"
1,"오늘 3시에 나시고랭, 수육을 적당히 먹었다","['나시고랭', '수육']"
2,어제 9시에 라면하고 배추 된장국을 먹었네,"['라면', '배추 된장국']"
3,오늘 식사로는 아침으로 김치찌개와 떡을 조금 먹었네,"['김치찌개', '떡']"
4,"금일 식사는 아침으로 소고기 비빔밥, 배추를 빨리 먹을것 같아","['소고기 비빔밥', '배추']"
5,내일 식사로는 오전에 간짜장이랑 간짜장면을 많이 먹음,"['간짜장', '간짜장면']"
6,내일  2시에 삼겹살하고 마라탕을 많이 먹을것임,"['삼겹살', '마라탕']"
7,오후에 토마토 파스타를 없음,['토마토 파스타']
8,금일 7시에 팟타이와 보쌈 김치 볶음밥과 간짜장면하고 배추를 적당히 먹었다,"['팟타이', '보쌈', '김치 볶음밥', '간짜장면', '배추']"
9,오늘 11시에 보쌈하고 김치찌개를 조금 먹을것임,"['보쌈', '김치찌개']"
10,내일 식사로는 11시에 김치찌개랑 마라탕을 조금 먹을것 같아,"['김치찌개', '마라탕']"
11,익일 식사로는 점심으로 라면 배추를 많이 먹을게,"['라면', '배추']"
12,오늘 식사는 8시에 짜장면이랑 마라탕과 김치를 급하게 먹을게,"['짜장면', '마라탕', '김치']"
13,"그저께 1시에 된장 라면, 된장찌개를 많이 먹을게","['된장 라면', '된장찌개']"
14,"익일 저녁에 비빔밥, 배추 된장국을 먹을것 같아","['비빔밥', '배추 된장국']"
15,내일  3시에 배추 김치와 김밥을 적당히 먹을꺼야,"['배추 김치', '김밥']"
16,"내일 식사로는 9시에 돈까스, 마라탕을 조금 먹음","['돈까스', '마라탕']"
17,익일 식사로는 1시에 팟타이 순두부찌개를,"['팟타이', '순두부찌개']"
18,"금일 식사는 저녁에 김치, 갈비를 살짝 먹을게","['김치', '갈비']"
19,"10시에 냉면, 된장찌개를 조금만 먹었다","['냉면', '된장찌개']"
20,어제 2시에 알리오올리오 간짜장면을 살짝 먹었네,"['알리오올리오', '간짜장면']"
21,금일 식사는 오후에 총각 김치하고 배추 김치를 조금 먹음,"['총각 김치', '배추 김치']"
22,일일 4시에 소고기와 탕수육을 많이,"['소고기', '탕수육']"
23,"익일 식사는 점심으로 족발, 밥을 급하게 먹었어","['족발', '밥']"
24,일일 아침으로 쌀밥을 급하게,['쌀밥']
25,내일 식사로는 저녁에 알리오올리오 간짜장면을 적당히 먹었다,"['알리오올리오', '간짜장면']"
26,"그저께 소고기 비빔밥 피자, 토마토와 쌀밥하고 짜장면을 조금 먹었다","['소고기 비빔밥', '피자', '토마토', '쌀밥', '짜장면']"
27,"어제 11시에 간짜장면, 피자를 적정량 먹을것임","['간짜장면', '피자']"
28,"내일  간식으로 밥, 토마토 파스타랑 떡만두국을 적정량 먹을것임","['밥', '토마토 파스타', '떡만두국']"
29,내일 모레 9시에 냉면과 한우를 없음 먹을것 같아,"['냉면', '한우']"
30,"오늘 2시에 비빔밥, 순두부찌개를 조금만 먹었다","['비빔밥', '순두부찌개']"
31,금일 식사는 9시에 김밥이랑 된장 라면을 살짝 먹을꺼야,"['김밥', '된장 라면']"
32,익일 식사로는 4시에 간짜장과 김밥을 먹었다,"['간짜장', '김밥']"
33,내일  2시에 비빔밥이랑 팟타이를 조금만 먹을것 같아,"['비빔밥', '팟타이']"
34,익일 식사는 저녁으로 스테이크하고 토마토를 맛있게,"['스테이크', '토마토']"
35,내일 식사로는 6시에 순두부찌개와 냉면을 적당히 먹었어,"['순두부찌개', '냉면']"
36,익일 식사는 오후에 된장찌개하고 나시고랭을 조금 먹었어,"['된장찌개', '나시고랭']"
