,sentence,foodlist
0,금일 7시에 토마토 샐러드와 탕수육을 적정량 먹었다,"['토마토 샐러드', '탕수육']"
1,오늘 12시에 나시고랭이랑 돈까스를 적정량 먹었다,"['나시고랭', '돈까스']"
2,금일 식사는 간식으로 탕수육 라면을 적당히 먹을게,"['탕수육', '라면']"
3,4시에 알리오올리오를 빨리 먹을게,['알리오올리오']
4,"익일 식사로는 3시에 족발, 돈까스를 많이","['족발', '돈까스']"
5,일일 점심에 된장 라면하고 배추를 없음 먹었다,"['된장 라면', '배추']"
6,"그저께 오전에 삼겹살, 알리오올리오를 빨리 먹음","['삼겹살', '알리오올리오']"
7,"내일 모레 6시에 김밥, 햄버거를 먹었네","['김밥', '햄버거']"
8,금일 식사로는 오후에 소고기 비빔밥하고 보쌈을 조금,"['소고기 비빔밥', '보쌈']"
9,익일 식사는 오전에 김치 볶음밥하고 배추 된장국을 살짝 먹었다,"['김치 볶음밥', '배추 된장국']"
10,오늘 식사로는 6시에 김치 볶음밥이랑 알리오올리오와 수육과 냉면 콩밥을 적당히 먹음,"['김치 볶음밥', '알리오올리오', '수육', '냉면', '콩밥']"
11,오늘 저녁으로 갈비탕 간짜장을 많이 먹음,"['갈비탕', '간짜장']"
12,금일 식사는 12시에 갈비하고 족발 보쌈을 먹음,"['갈비', '족발 보쌈']"
13,내일  점심에 팟타이 마라탕 돈까스랑 배추 된장국이랑 냉면을 맛있게 먹을것임,"['팟타이', '마라탕', '돈까스', '배추 된장국', '냉면']"
14,그저께 아침으로 배추랑 소고기 비빔밥을 조금만 먹을꺼야,"['배추', '소고기 비빔밥']"
15,익일 식사는 점심에 김치찌개하고 족발을 조금만 먹을것임,"['김치찌개', '족발']"
16,어제 간식으로 평양 냉면이랑 토마토 샐러드를 많이 먹었다,"['평양 냉면', '토마토 샐러드']"
17,어제 6시에 제육볶음하고 팟타이를 빨리 먹었다,"['제육볶음', '팟타이']"
18,오늘 7시에 총각 김치와 토마토를 적정량,"['총각 김치', '토마토']"
19,금일 식사로는 11시에 토마토 샐러드를 없음 먹었어,['토마토 샐러드']
20,금일 오후에 쌀밥이랑 냉면을 먹었어,"['쌀밥', '냉면']"
21,"내일 식사는 저녁에 떡만두국, 보쌈을 빨리 먹을게","['떡만두국', '보쌈']"
22,"내일 식사로는 2시에 소고기, 나시고랭을 빨리 먹었다","['소고기', '나시고랭']"
23,익일 식사는 12시에 총각 김치하고 김치찜을 적정량 먹을것임,"['총각 김치', '김치찜']"
24,익일 식사로는 저녁에 배추 김치랑 평양 냉면을 조금 먹었네,"['배추 김치', '평양 냉면']"
25,금일 오전에 된장찌개하고 소고기 비빔밥을 많이 먹었어,"['된장찌개', '소고기 비빔밥']"
26,일일 11시에 족발 피자를 급하게 먹을꺼야,"['족발', '피자']"
27,일일 9시에 로제 파스타하고 토마토를,"['로제 파스타', '토마토']"
28,4시에 떡만두국이랑 김치찜을 조금만 먹었다,"['떡만두국', '김치찜']"
29,내일 모레 6시에 피자 쌀밥을 조금만 먹었네,"['피자', '쌀밥']"
30,오늘 식사는 점심에 피자 간짜장을 많이,"['피자', '간짜장']"
31,내일 식사로는 저녁으로 족발 보쌈 만두국을 많이 먹었어,"['족발 보쌈', '만두국']"
32,오늘 식사는 8시에 알리오올리오랑 밥을 맛있게 먹을꺼야,"['알리오올리오', '밥']"
33,금일 아침에 평양 냉면과 된장찌개를 맛있게,"['평양 냉면', '된장찌개']"
34,금일 식사로는 1시에 김치 볶음밥이랑 갈비를 살짝 먹을것임,"['김치 볶음밥', '갈비']"
35,금일 1시에 팟타이랑 김치찜을 조금 먹을꺼야,"['팟타이', '김치찜']"
36,익일 9시에 총각 김치와 갈비를 적당히 먹을것임,"['총각 김치', '갈비']"
37,그저께 6시에 볶음밥하고 보쌈을 맛있게 먹음,"['볶음밥', '보쌈']"
38,"익일 식사는 7시에 로제 파스타, 스테이크를 쪼금","['로제 파스타', '스테이크']"
39,그저께 점심으로 된장 라면과 한우를 적당히 먹음,"['된장 라면', '한우']"
40,어제 오전에 갈비와 알리오올리오를 급하게 먹을꺼야,"['갈비', '알리오올리오']"
41,금일 점심에 토마토랑 순두부찌개를 많이 먹을것 같아,"['토마토', '순두부찌개']"
42,금일 식사는 4시에 김치 볶음밥하고 간짜장면을 적정량 먹었다,"['김치 볶음밥', '간짜장면']"
43,내일 식사로는 2시에 제육볶음과 떡을 많이 먹을꺼야,"['제육볶음', '떡']"
44,"익일 식사는 점심에 총각 김치, 토마토를 빨리 먹음","['총각 김치', '토마토']"
45,"금일 아침으로 족발, 수육을 조금만 먹었네","['족발', '수육']"
46,오늘 오전에 김치찌개하고 수육을 조금만 먹었다,"['김치찌개', '수육']"
47,"금일 식사는 아침에 총각 김치, 수육, 피자를 빨리 먹었어","['총각 김치', '수육', '피자']"
48,"내일  저녁에 콩밥, 된장찌개와 김치찜을 조금 먹었어","['콩밥', '된장찌개', '김치찜']"
49,익일 식사로는 저녁으로 냉면 족발 보쌈을 적정량 먹을게,"['냉면', '족발 보쌈']"
50,익일 식사는 6시에 토마토 샐러드하고 로제 파스타를 급하게 먹을것임,"['토마토 샐러드', '로제 파스타']"
51,"그저께 5시에 돈까스, 로제 파스타를 없음 먹을것 같아","['돈까스', '로제 파스타']"
52,금일 1시에 탕수육 밥을 쪼금,"['탕수육', '밥']"
53,어제 1시에 토마토 파스타 나시고랭을 적정량 먹었네,"['토마토 파스타', '나시고랭']"
54,오늘 3시에 라면 콩밥을 급하게 먹을게,"['라면', '콩밥']"
55,익일 5시에 김치 볶음밥과 한우를 없음 먹을것임,"['김치 볶음밥', '한우']"
56,일일 3시에 김치 볶음밥 수육을 적당히 먹었네,"['김치 볶음밥', '수육']"
57,익일 오전에 김치찜이랑 수육을 급하게 먹을게,"['김치찜', '수육']"
58,내일 모레 3시에 간짜장하고 김치를 먹을게,"['간짜장', '김치']"
59,금일 식사로는 저녁에 간짜장과 나시고랭을 없음 먹었네,"['간짜장', '나시고랭']"
60,내일 식사는 아침으로 나시고랭이랑 햄버거를 살짝 먹을것 같아,"['나시고랭', '햄버거']"
61,오늘 식사는 점심으로 김치찜을 급하게 먹음,['김치찜']
62,금일 식사는 1시에 마라탕하고 떡을 빨리 먹을게,"['마라탕', '떡']"
63,금일 식사는 아침으로 소고기 비빔밥이랑 만두국을 없음 먹을것임,"['소고기 비빔밥', '만두국']"
64,"어제 5시에 마라탕, 팟타이를 적정량 먹었다","['마라탕', '팟타이']"
65,내일 모레 8시에 토마토 샐러드와 마라탕을 먹을게,"['토마토 샐러드', '마라탕']"
66,"내일 식사로는 9시에 나시고랭, 쌀밥 된장찌개를 빨리 먹을것임","['나시고랭', '쌀밥', '된장찌개']"
67,익일 식사로는 아침으로 배추 된장국이랑 팟타이를 쪼금 먹을게,"['배추 된장국', '팟타이']"
68,익일 오후에 제육볶음하고 된장찌개를 살짝 먹음,"['제육볶음', '된장찌개']"
69,금일 식사로는 9시에 볶음밥하고 김밥을 급하게 먹을꺼야,"['볶음밥', '김밥']"
70,일일 5시에 피자 김치 볶음밥을 조금만 먹을게,"['피자', '김치 볶음밥']"
71,"오늘 식사는 저녁으로 쌀밥, 콩밥을 조금 먹을것 같아","['쌀밥', '콩밥']"
72,어제 점심에 김치찌개랑 제육볶음을 많이,"['김치찌개', '제육볶음']"
73,오늘 점심으로 냉면하고 알리오올리오를 적당히 먹었다,"['냉면', '알리오올리오']"
74,아침에 간짜장면이랑 김치를 먹을게,"['간짜장면', '김치']"
75,오늘 7시에 족발 라면을 적정량 먹었네,"['족발', '라면']"
76,"익일 식사로는 2시에 마라탕, 마라탕을 급하게 먹었다","['마라탕', '마라탕']"
77,금일 식사는 점심으로 김치찜과 갈비를 맛있게 먹을게,"['김치찜', '갈비']"
78,금일 식사로는 오후에 스테이크 제육볶음을 많이,"['스테이크', '제육볶음']"
79,그저께 10시에 볶음밥하고 된장 라면을 급하게 먹을것 같아,"['볶음밥', '된장 라면']"
80,"내일 모레 오전에 햄버거, 김치찌개를 조금만 먹었다","['햄버거', '김치찌개']"
81,내일 모레 점심으로 제육볶음과 로제 파스타와 비빔밥을 빨리 먹음,"['제육볶음', '로제 파스타', '비빔밥']"
82,5시에 피자랑 김치찜을 빨리 먹음,"['피자', '김치찜']"
83,일일 11시에 밥이랑 김치 볶음밥을 먹을것임,"['밥', '김치 볶음밥']"
84,오늘 식사로는 4시에 한우와 한우하고 떡만두국과 비빔밥을 빨리 먹을꺼야,"['한우', '한우', '떡만두국', '비빔밥']"
85,익일 식사로는 점심에 마라탕과 된장찌개를 먹었어,"['마라탕', '된장찌개']"
86,익일 식사는 7시에 김치찌개와 한우를 맛있게 먹을게,"['김치찌개', '한우']"
87,어제 3시에 떡과 갈비를 쪼금 먹음,"['떡', '갈비']"
88,오늘 11시에 갈비탕이랑 수육을 급하게 먹을것임,"['갈비탕', '수육']"
89,금일 식사로는 3시에 한우하고 토마토 파스타를 쪼금 먹을꺼야,"['한우', '토마토 파스타']"
90,내일 식사는 3시에 돈까스 토마토를 살짝 먹을꺼야,"['돈까스', '토마토']"
91,오늘 식사로는 저녁으로 김치 볶음밥 알리오올리오를 쪼금 먹었어,"['김치 볶음밥', '알리오올리오']"
92,"익일 저녁으로 토마토, 김치찌개, 족발을 살짝 먹을것임","['토마토', '김치찌개', '족발']"
93,익일 식사는 저녁에 오복쟁반 만두국을 조금 먹었다,"['오복쟁반', '만두국']"
94,어제 8시에 만두국 비빔밥을 빨리 먹을것임,"['만두국', '비빔밥']"
95,내일 식사로는 5시에 된장찌개랑 김치찌개를 쪼금 먹었다,"['된장찌개', '김치찌개']"
96,익일 식사로는 12시에 갈비랑 로제 파스타를 없음 먹을것임,"['갈비', '로제 파스타']"
97,내일 식사는 3시에 한우와 만두국을 많이 먹을게,"['한우', '만두국']"
98,내일 식사로는 저녁에 보쌈이랑 된장 라면을 맛있게,"['보쌈', '된장 라면']"
99,어제 12시에 라면과 한우를 먹을것 같아,"['라면', '한우']"
100,그저께 6시에 족발과 간짜장면을 조금만 먹을것 같아,"['족발', '간짜장면']"
101,"금일 1시에 토마토 샐러드, 토마토 샐러드를 적정량 먹을꺼야","['토마토 샐러드', '토마토 샐러드']"
102,어제 아침에 한우하고 마라탕을 쪼금 먹음,"['한우', '마라탕']"
103,"내일 식사로는 5시에 김치 볶음밥, 된장찌개를 쪼금 먹었다","['김치 볶음밥', '된장찌개']"
104,11시에 콩밥이랑 제육볶음을 먹었네,"['콩밥', '제육볶음']"
105,내일 모레 4시에 쌀밥과 총각 김치를 없음 먹었네,"['쌀밥', '총각 김치']"
106,일일 8시에 갈비 햄버거를 적정량 먹음,"['갈비', '햄버거']"
107,금일 식사로는 11시에 총각 김치와 토마토 파스타를 급하게 먹을것임,"['총각 김치', '토마토 파스타']"
108,"어제 1시에 한우, 햄버거를 맛있게 먹을것 같아","['한우', '햄버거']"
109,내일 식사로는 저녁에 팟타이 김치 볶음밥 김밥을 빨리 먹을것임,"['팟타이', '김치 볶음밥', '김밥']"
110,익일 식사로는 점심에 탕수육하고 오복쟁반을 쪼금,"['탕수육', '오복쟁반']"
111,익일 식사로는 2시에 짜장면이랑 볶음밥을 적당히 먹었네,"['짜장면', '볶음밥']"
112,어제 11시에 김치 김치찌개를 맛있게 먹었어,"['김치', '김치찌개']"
113,내일 식사는 8시에 냉면이랑 한우와 만두국이랑 소고기하고 냉면을 적정량 먹을것 같아,"['냉면', '한우', '만두국', '소고기', '냉면']"
114,오늘 식사로는 8시에 짜장면이랑 떡만두국을 살짝 먹었어,"['짜장면', '떡만두국']"
115,금일 12시에 비빔밥과 김치를 없음 먹었네,"['비빔밥', '김치']"
116,오늘 식사로는 저녁으로 된장 라면하고 갈비를 먹을것임,"['된장 라면', '갈비']"
